"value","sd","par","year","type"
177.761878426444,2.00511946468116,"mu",2005,"estimate"
180.637414136652,2.13004070354227,"mu",2006,"estimate"
173.884695504084,1.78981868145955,"mu",2007,"estimate"
185.468034955965,2.53924449763858,"mu",2008,"estimate"
187.828159193583,1.97612160016422,"mu",2009,"estimate"
176.770807554369,1.97783460287729,"mu",2010,"estimate"
195.584847311825,2.11502286120856,"mu",2011,"estimate"
179.456675540943,1.43630194521502,"mu",2012,"estimate"
159.526257032729,1.48674421433066,"mu",2013,"estimate"
171.410947372049,1.68618948606318,"mu",2014,"estimate"
158.000533544909,1.88942361581194,"mu",2015,"estimate"
160.192047104545,1.83260492948196,"mu",2016,"estimate"
166.892820859098,1.84952888425287,"mu",2017,"estimate"
172.64228270505,1.80359356210402,"mu",2018,"estimate"
163.445802134024,5.29228471510645,"mu",2019,"estimate"
161.941509029824,5.85287277515245,"mu",2020,"estimate"
170.958731264095,2.20187434687321,"mu",2005,"raw"
194.401729987911,2.90428643300604,"mu",2006,"raw"
179.028730669768,1.65236472139471,"mu",2007,"raw"
180.987500504673,4.54518474088603,"mu",2008,"raw"
185.169718301092,2.75275654559266,"mu",2009,"raw"
172.879331621578,3.7651363687748,"mu",2010,"raw"
181.206069015812,4.29221253462129,"mu",2011,"raw"
176.263331112006,2.02625630743426,"mu",2012,"raw"
160.315193379497,2.39359876106046,"mu",2013,"raw"
166.918520967481,1.88375267500583,"mu",2014,"raw"
159.733683030969,2.79795935917946,"mu",2015,"raw"
158.3351809821,3.90822032864409,"mu",2016,"raw"
166.354302312937,2.05261492670404,"mu",2017,"raw"
170.308820965485,1.94108502125735,"mu",2018,"raw"
163.347629753685,1.28265510816671,"mu",2019,"raw"
164.493543783811,1.29318931906907,"mu",2020,"raw"
