,coho1_dungeness_Date,coho1_dungeness_unmarked,coho1_dungeness_wild_num,coho1_dungeness_hatchery_num,coho1_dungeness_unmarked_prop,coho1_dungeness_wild_prop,coho1_dungeness_year
0,2005-05-03,8968.0,54.0,993.0,0.01750024392623671,0.046932719351900576,2005
1,2006-05-01,309.0,63.0,7.0,0.02596638655462185,0.9,2006
2,2006-06-01,12691.0,3.0,163.0,0.02600081950419996,0.01749002761583308,2006
3,2007-06-01,6979.0,0.0,435.0,0.013902390438247012,0.0,2007
4,2007-06-10,0.0,17.0,138.0,0.0,0.1094806629834254,2007
5,2008-06-01,2983.0,32.0,1993.0,0.005562185344023867,0.015559551867034524,2008
6,2009-06-01,6515.0,4.0,1101.0,0.012142391203056564,0.0024075120470836227,2009
7,2010-05-19,3806.0,62.0,889.0,0.007048148148148149,0.06747923837190944,2010
8,2011-05-23,2112.0,18.0,816.0,0.0039002770083102494,0.022237739700273953,2011
9,2012-05-16,5736.0,9.0,491.0,0.010500782615859185,0.014899818529843139,2012
10,2013-05-15,4450.0,7.0,1085.0,0.009100204498977506,0.006410256410256412,2013
11,2014-05-16,5435.0,92.0,878.0,0.009999227290623356,0.09480711501411351,2014
12,2015-05-16,4656.0,15.0,6060.0,0.013299247347148631,0.0003739444887128159,2015
13,2016-05-16,3305.0,23.0,1577.0,0.005999665979261669,0.011413897414485908,2016
14,2017-05-16,981.0,14.0,1501.0,0.0019995026721182497,0.0006666031806494607,2017
15,2018-05-16,3900.0,37.0,404.0,0.007400533976990031,0.07455474251000967,2018
16,2019-05-16,1620.0,11.0,720.0,0.002,0.013583864582196799,2019
17,2020-05-16,0.0,17.0,622.0,0.0,0.003663003663003663,2020
