year,total_released,river,species,releases
2006,112300,Dungeness,chinook,3
2007,102540,Dungeness,chinook,2
2008,98900,Dungeness,chinook,2
2009,98725,Dungeness,chinook,2
2010,100600,Dungeness,chinook,2
2011,76918,Dungeness,chinook,1
2012,169099,Dungeness,chinook,2
2013,153650,Dungeness,chinook,1
2014,170404,Dungeness,chinook,2
2015,128217,Dungeness,chinook,2
2016,208242,Dungeness,chinook,3
2017,204224,Dungeness,chinook,1
2018,207345,Dungeness,chinook,3
2019,178700,Dungeness,chinook,1
2020,206100,Dungeness,chinook,1
2005,512450,Dungeness,coho,1
2006,500000,Dungeness,coho,2
2007,511100,Dungeness,coho,2
2008,536300,Dungeness,coho,1
2009,536550,Dungeness,coho,1
2010,540000,Dungeness,coho,1
2011,541500,Dungeness,coho,1
2012,546245,Dungeness,coho,1
2013,489000,Dungeness,coho,1
2014,543542,Dungeness,coho,1
2015,350095,Dungeness,coho,1
2016,550864,Dungeness,coho,1
2017,490622,Dungeness,coho,1
2018,526989,Dungeness,coho,1
2019,810000,Dungeness,coho,1
2020,785000,Dungeness,coho,1
2004,1749864,Puyallup,chinook,2
2005,1003350,Puyallup,chinook,2
2006,1659217,Puyallup,chinook,2
2007,1880704,Puyallup,chinook,2
2008,1792000,Puyallup,chinook,2
2009,314872,Puyallup,chinook,1
2010,582898,Puyallup,chinook,2
2011,1734522,Puyallup,chinook,4
2012,1017560,Puyallup,chinook,4
2013,705000,Puyallup,chinook,1
2014,649142,Puyallup,chinook,1
2015,705808,Puyallup,chinook,1
2016,1554302,Puyallup,chinook,1
2017,1453000,Puyallup,chinook,1
2018,1661000,Puyallup,chinook,1
2019,1638000,Puyallup,chinook,1
2021,1651445,Puyallup,chinook,2
2004,1025000,Puyallup,coho,2
2005,1026820,Puyallup,coho,2
2006,981553,Puyallup,coho,2
2007,752500,Puyallup,coho,2
2008,799100,Puyallup,coho,1
2009,913700,Puyallup,coho,2
2010,498500,Puyallup,coho,1
2011,658200,Puyallup,coho,2
2012,987700,Puyallup,coho,2
2013,919500,Puyallup,coho,4
2014,899015,Puyallup,coho,2
2015,972766,Puyallup,coho,2
2016,362281,Puyallup,coho,1
2017,744981,Puyallup,coho,2
2018,929900,Puyallup,coho,2
2019,928000,Puyallup,coho,2
2020,937500,Puyallup,coho,2
2021,858049,Puyallup,coho,3
2010,479813,Skagit,chinook,2
2012,666149,Skagit,chinook,2
2013,779582,Skagit,chinook,2
2014,763288,Skagit,chinook,2
2015,891321,Skagit,chinook,2
2016,877290,Skagit,chinook,2
2017,801820,Skagit,chinook,2
2018,803777,Skagit,chinook,2
2019,875400,Skagit,chinook,2
2020,1037979,Skagit,chinook,3
2021,877449,Skagit,chinook,4
2022,1324600,Skagit,chinook,3
2010,352500,Skagit,coho,2
2012,429294,Skagit,coho,6
2013,321049,Skagit,coho,5
2014,343239,Skagit,coho,4
2015,317874,Skagit,coho,4
2016,310838,Skagit,coho,2
2017,329988,Skagit,coho,2
2018,339606,Skagit,coho,2
2019,610069,Skagit,coho,2
2020,604911,Skagit,coho,2
2021,574958,Skagit,coho,2
2022,522515,Skagit,coho,1
